source,product_id,title,url,price_azn,old_price_azn,discount_azn,discount_percent,brand,specs,availability,label,monthly_payment_azn,rating,review_count
kontakt.az,105909,Notbuk Apple MacBook Air 13 M4 Sky Blue MC6T4RU/A,https://kontakt.az/notbuk-apple-macbook-air-13-m4-sky-blue-mc6t4ru-a,2499.99,2999.99,500.0,,Apple,"Prosessor: Apple M4, 4.41 GHz",,,,,
kontakt.az,113322,Notbuk Acer Aspire Lite AL16-52P (NX.J5RER.002),https://kontakt.az/notbuk-acer-aspire-lite-al16-52p-nx-j5rer-002,839.99,1099.99,260.0,,Acer,"Prosessor: Intel Core i3 1305U, 1.2 - 4.5 GHz",,,,,
kontakt.az,105897,Notbuk Apple MacBook Air 13 M4 Midnight MW133RU/A,https://kontakt.az/notbuk-apple-macbook-air-13-m4-midnight-mw133ru-a,2999.99,3499.99,500.0,,Apple,"Prosessor: Apple M4, 4.41 GHz",,,,,
kontakt.az,118988,Notbuk Asus TUF A16 FA608UM-RV053 (90NR0KV1-M005H0),https://kontakt.az/notbuk-asus-tuf-gaming-a16-fa608um-rv053-90nr0kv1-m005h0,2899.99,3799.99,900.0,,Asus,"Prosessor: AMD Ryzen 7 260, 3.8 - 5.1 GHz",,,,,
kontakt.az,113323,Notbuk Acer Aspire Lite AL16-52P (NX.J5RER.001),https://kontakt.az/notbuk-acer-aspire-lite-al16-52p-nx-j5rer-001,979.99,1299.99,320.0,,Acer,"Prosessor: Intel Core i5 1334U, 0.9 - 4.6 GHz",,,,,
kontakt.az,120057,Notbuk Lenovo LOQ 15IRX9 (83GS00R9RK),https://kontakt.az/notbuk-lenovo-loq-15irx9-83gs00r9rk,1659.99,2199.99,540.0,,Lenovo,"Prosessor: Intel Core i5 12450HX, 3.1 - 4.4 GHz",,,,,
kontakt.az,118501,Notbuk Asus ROG Strix G16 G614PR-RV007 (90NR0NJ7-M00080),https://kontakt.az/notbuk-asus-rog-strix-g16-g614pr-rv007-90nr0nj7-m00080,3999.99,5299.99,1300.0,,Asus,"Prosessor: AMD Ryzen 9 8940HX, 2.4 - 5.3 GHz",,,,,
kontakt.az,118738,Notbuk Acer Nitro NL16-71G (NH.DABER.001),https://kontakt.az/notbuk-acer-nitro-nl16-71g-nh-daber-001,1499.99,1999.99,500.0,,Acer,"Prosessor: Intel Core i5 13420H, 2.1 - 4.6 GHz",,,,,
kontakt.az,118502,Notbuk Asus TUF F16 FX608JHR-RV036 (90NR0NA1-M001T0),https://kontakt.az/notbuk-asus-tuf-f16-fx608jhr-rv036-90nr0na1-m001t0,2849.99,3799.99,950.0,,Asus,"Prosessor: Intel Core i7 14650HX, 2.2 - 5.2 GHz",,,,,
kontakt.az,98091,Notbuk Acer Nitro 5 ANV15-51-735K (NH.QNBER.002),https://kontakt.az/notbuk-acer-nitro-5-anv15-51-735k-nh-qnber-002,2169.99,2749.99,580.0,,Acer,"Prosessor: Intel Core i7 13620H, 1.8 - 4.9 GHz",,,,,
kontakt.az,114767,Notbuk Lenovo Legion Pro 5 16IRX9 (83DF009KRK),https://kontakt.az/notbuk-lenovo-legion-pro-5-16irx9-83df009krk,2599.99,3399.99,800.0,,Lenovo,"Prosessor: Intel Core i5 14500HX, 1.9 - 4.9 GHz",,,,,
kontakt.az,118740,Notbuk Acer Nitro NL16-71G (NH.DAEER.002),https://kontakt.az/notbuk-acer-nitro-nl16-71g-nh-daeer-002,1949.99,2599.99,650.0,,Acer,"Prosessor: Intel Core i7 13620H, 1.8 - 4.9 GHz",,,,,
kontakt.az,118504,Notbuk Lenovo LOQ 15AHP10 (83JG000VRK),https://kontakt.az/notbuk-lenovo-loq-15ahp10-83jg000vrk,2149.99,2799.99,650.0,,Lenovo,"Prosessor: AMD Ryzen 5 220, 3.2 - 4.9 GHz",,,,,
kontakt.az,120344,Notbuk Asus VivoBook Go 15 E1504FA-BQ1086 (90NB0ZR1-M023C0),https://kontakt.az/notbuk-asus-vivobook-go-15-e1504fa-bq1086-90nb0zr1-m023c0,1049.99,1499.99,450.0,,Asus,"Prosessor: AMD Ryzen 5 7520U, 2.8 - 4.3 GHz",,,,,
kontakt.az,111555,Notbuk HP 250 G10 (8X9D0ES),https://kontakt.az/notbuk-hp-250-g10-8x9d0es,999.99,1699.99,700.0,,HP,"Prosessor: Intel Core i5 1334U, 0.9 - 4.6 GHz",,,,,
kontakt.az,105892,Notbuk Apple MacBook Air 13 M4 Silver MW0W3RU/A,https://kontakt.az/notbuk-apple-macbook-air-13-m4-silver-mw0w3ru-a,2499.99,2999.99,500.0,,Apple,"Prosessor: Apple M4, 4.41 GHz",,,,,
kontakt.az,1836,Notbuk HP Pavilion 14-DV0010UR (2H5W8EA),https://kontakt.az/notbuk-hp-pavilion-14-dv0010ur-2h5w8ea,1489.99,1679.99,190.0,,HP,"Prosessor: Intel Core i5 1135G7, 2.4 - 4.2 GHz",,,,,
kontakt.az,90309,Notbuk Acer Nitro 5 ANV15-51 (NH.QNBER.006),https://kontakt.az/acer-nitro-5-anv15-51-nh-qnber-006,2299.99,2899.99,600.0,,Acer,"Prosessor: Intel Core i7 13620H, 1.8 - 4.9 GHz",,,,,
kontakt.az,108244,Notbuk MSI Thin 15 B13VE-3008XAZ (9S7-16R831-3008),https://kontakt.az/notbuk-msi-thin-15-b13ve-3008xaz-9s7-16r831-3008,2049.99,2849.99,800.0,,MSI,"Prosessor: Intel Core i7 13620H, 3.4 - 4.9 GHz",,,,,
kontakt.az,105894,Notbuk Apple MacBook Air 13 M4 Starlight MW0Y3RU/A,https://kontakt.az/notbuk-apple-macbook-air-13-m4-starlight-mw0y3ru-a,2499.99,2999.99,500.0,,Apple,"Prosessor: Apple M4, 4.41 GHz",,,,,
kontakt.az,108250,Notbuk Asus G835LW-SA013 ROG Strix Scar 18  90NR0LI1-M00140,https://kontakt.az/notbuk-asus-g835lw-sa013-rog-strix-scar-18-90nr0li1-m00140,7479.99,9849.99,2370.0,,Asus,Prosessor: Intel Core Ultra 9 275HX 2.7 - 5.4 GHz,,,,,
kontakt.az,110334,Notbuk Asus TUF A15 FA507NUR-LP044 (90NR0JP5-M002D0),https://kontakt.az/notbuk-asus-tuf-a15-fa507nur-lp044-90nr0jp5-m002d0,2199.99,2899.99,700.0,,Asus,"Prosessor: AMD Ryzen 7 7435HS, 3.1 - 4.5 GHz",,,,,
kontakt.az,105904,Notbuk Apple MacBook Air 15 M4 Midnight MW1M3RU/A,https://kontakt.az/notbuk-apple-macbook-air-15-m4-midnight-mw1m3ru-a,3499.99,4199.99,700.0,,Apple,"Prosessor: Apple M4, 4.41 GHz",,,,,
kontakt.az,116108,Notbuk Lenovo IdeaPad Slim 5 14IRH10R (83J0006MRK),https://kontakt.az/notbuk-lenovo-ideapad-slim-5-14irh10r-83j0006mrk,1479.99,1999.99,520.0,,Lenovo,"Prosessor: Intel Core i5 210H, 2.2 - 4.8 GHz",,,,,
kontakt.az,106610,Notbuk HONOR MagicBook Pro X16 (DRA-54) White,https://kontakt.az/notbuk-honor-magicbook-pro-x16-dra-54-white,2099.99,2899.99,800.0,,HONOR,"Prosessor: Intel Core Ultra 5 125H, 1.2 - 4.5 GHz",,,,,
